_id,Time_Stamp,Device_ID,Current,voltage,Power_Factor,Real_Power,room_temp,External_temp,Humidity,unit_consumption,_updated,_created,_etag
ObjectId(647da6b5aa22689102728f58),2023-06-05T09:11:01.194739+00:00,C108AC01,0.8,236,0.13,,24.8,30.96,44.53,0.04,2023-06-05T09:11:17.000Z,2023-06-05T09:11:17.000Z,971d4e605328bdff3987ee54607c72a67cc4f5b4
ObjectId(647da751aa22689102728f5a),2023-06-05T09:13:42.597450+00:00,C108AC01,0.8,235,0.06,,24.9,36.09,44.53,0.04,2023-06-05T09:13:53.000Z,2023-06-05T09:13:53.000Z,52957eb4e50219bb9126fc7ea5b46737d1b10793
ObjectId(647da7feaa22689102728f5c),2023-06-05T09:16:24.071549+00:00,C108AC01,0.7,239,0.08,,24.9,36.24,44.63,0.04,2023-06-05T09:16:45.000Z,2023-06-05T09:16:45.000Z,02c90a44330fe65a8da1bd711bd9fa57a3f57ef6
ObjectId(647da9b7aa22689102728f60),2023-06-05T09:19:05.389681+00:00,C108AC01,0.7,239,0.07,,24.9,36.19,44.53,0.04,2023-06-05T09:24:06.000Z,2023-06-05T09:24:06.000Z,49f0068b48af9a1f2805fe94f73281f8caefa012
ObjectId(647daa0aaa22689102728f62),2023-06-05T09:21:46.786731+00:00,C108AC01,0.8,238,0.07,,24.9,35.68,44.43,0.04,2023-06-05T09:25:29.000Z,2023-06-05T09:25:29.000Z,de31008487973c21678f01502801a47b05605968
ObjectId(647daa76aa22689102728f63),2023-06-05T09:24:28.202130+00:00,C108AC01,0.8,238,0.07,,24.8,35.84,44.43,0.04,2023-06-05T09:27:18.000Z,2023-06-05T09:27:18.000Z,5692d0cd27ef19c9f1ded2860a6cde439b8171b8
ObjectId(647daae8aa22689102728f65),2023-06-05T09:27:09.574863+00:00,C108AC01,0.7,236,0.05,,24.9,35.98,44.53,0.03,2023-06-05T09:29:11.000Z,2023-06-05T09:29:11.000Z,2a51aca1f0c82da7f520a6c257bc577d045e8044
ObjectId(647dab59aa22689102728f66),2023-06-05T09:29:50.987124+00:00,C108AC01,0.7,238,0.03,,25,36.19,44.13,0.04,2023-06-05T09:31:05.000Z,2023-06-05T09:31:05.000Z,01d12c0f4315aa4b93e50b265241fc5e44328de1
ObjectId(647db9a3aa22689102728f93),2023-06-05T09:32:32.387125+00:00,C108AC01,0.7,239,0.06,,24.9,30.44,44.43,0.03,2023-06-05T10:32:03.000Z,2023-06-05T10:32:03.000Z,d91bdbddd4772148044b4c1a266123c3eeee0681
ObjectId(647dba44aa22689102728f94),2023-06-05T10:34:24.648849+00:00,C108AC01,0.7,236,0.09,,24.9,30.44,44.43,0.03,2023-06-05T10:34:43.000Z,2023-06-05T10:34:43.000Z,dfea74105eeb5ab6a7fe08002879dcd7d3b2f0e5
ObjectId(647dbaddaa22689102728f96),2023-06-05T10:37:06.059600+00:00,C108AC01,0.8,235,0.08,,24.9,30.49,44.03,0.04,2023-06-05T10:37:17.000Z,2023-06-05T10:37:17.000Z,2de3c7eb9136f02a10b29b1b28652fdd2f500e32
ObjectId(647dbb81aa22689102728f98),2023-06-05T10:39:47.448233+00:00,C108AC01,0.8,238,0.02,,24.9,30.54,44.13,0.04,2023-06-05T10:40:00.000Z,2023-06-05T10:40:00.000Z,2f3d9546bfaacf2ba06ac87f06a4c5217661a20a
ObjectId(647dbc23aa22689102728f9a),2023-06-05T10:42:28.844819+00:00,C108AC01,0.8,238,0.07,,24.9,29.91,44.13,0.04,2023-06-05T10:42:42.000Z,2023-06-05T10:42:42.000Z,a9a0c94224ab04780ba04f77d9d0d25bf1e8b939
ObjectId(647dbcc5aa22689102728f9c),2023-06-05T10:45:10.240105+00:00,C108AC01,0.8,238,0.12,,24.9,29.87,44.23,0.04,2023-06-05T10:45:25.000Z,2023-06-05T10:45:25.000Z,f6317a234b125436a822173cdeaae2f60d1c05e1
ObjectId(647dbd68aa22689102728f9e),2023-06-05T10:47:51.640913+00:00,C108AC01,0.8,238,0.15,,24.9,29.73,44.33,0.04,2023-06-05T10:48:07.000Z,2023-06-05T10:48:07.000Z,e5e05b59480ec376e7c90d86aa5728841654561e
ObjectId(647dbe09aa22689102728fa0),2023-06-05T10:50:33.053359+00:00,C108AC01,0.8,238,0.1,,24.9,29.77,44.03,0.04,2023-06-05T10:50:49.000Z,2023-06-05T10:50:49.000Z,d2270398ddf4484027be0fc0ee85f2ac062a6f12
ObjectId(647dbeadaa22689102728fa2),2023-06-05T10:53:14.471630+00:00,C108AC01,0.7,236,0.09,,24.9,29.75,43.83,0.03,2023-06-05T10:53:32.000Z,2023-06-05T10:53:32.000Z,709bac3be59cb2556a376ef1b7238bfd15ea3d6e
ObjectId(647dbf4eaa22689102728fa4),2023-06-05T10:55:55.849911+00:00,C108AC01,0.8,238,0.07,,24.9,29.72,43.73,0.04,2023-06-05T10:56:13.000Z,2023-06-05T10:56:13.000Z,de856dbfb456d96883f8afe164a1af448db96f36
ObjectId(647dbfebaa22689102728fa6),2023-06-05T10:58:37.239899+00:00,C108AC01,0.8,237,0.09,,24.9,29.78,43.73,0.04,2023-06-05T10:58:51.000Z,2023-06-05T10:58:51.000Z,a6cc6b1a123838cc7b66a90823a3a09c86ca4356
ObjectId(647dc08faa22689102728fa8),2023-06-05T11:01:18.651944+00:00,C108AC01,0.7,238,0.11,,25,33.76,43.73,0.04,2023-06-05T11:01:34.000Z,2023-06-05T11:01:34.000Z,98c183a0189948a2c7ed678064ca67372c26bff9
ObjectId(647dc126aa22689102728faa),2023-06-05T11:04:00.185508+00:00,C108AC01,0.7,238,0.05,,24.9,33.07,44.53,0.03,2023-06-05T11:04:05.000Z,2023-06-05T11:04:05.000Z,15d0ed7bb1b25f05322dd926b2ae624c7b7b0fef
ObjectId(647dc1c7aa22689102728fac),2023-06-05T11:06:41.453893+00:00,C108AC01,0.8,239,0.12,,24.9,32.5,44.43,0.04,2023-06-05T11:06:47.000Z,2023-06-05T11:06:47.000Z,5c81514e42c43339b65fdb6b25c9f91d1876ca61
ObjectId(647dc274aa22689102728fae),2023-06-05T11:09:22.843158+00:00,C108AC01,0.7,237,0.09,,24.8,31.72,44.53,0.03,2023-06-05T11:09:40.000Z,2023-06-05T11:09:40.000Z,b0a451bc38b14e8200f8fdb75193abf4621226e3
ObjectId(647dc30baa22689102728fb0),2023-06-05T11:12:04.253607+00:00,C108AC01,0.8,237,0.05,,24.8,30.96,44.53,0.04,2023-06-05T11:12:10.000Z,2023-06-05T11:12:10.000Z,094cdf12a6fbccf86221f9ef7c00864bc82aec12
ObjectId(647dc3b8aa22689102728fb2),2023-06-05T11:14:45.659018+00:00,C108AC01,0.8,239,0.02,,24.9,36.09,44.53,0.04,2023-06-05T11:15:03.000Z,2023-06-05T11:15:03.000Z,3281d30c5007cc852f33d996a9353d9699056dd5
ObjectId(647dc44eaa22689102728fb4),2023-06-05T11:17:27.041001+00:00,C108AC01,0.8,238,0.08,,24.9,36.24,44.63,0.04,2023-06-05T11:17:34.000Z,2023-06-05T11:17:34.000Z,8d2eaf4b98ac67623cdc88d7f92027b3dfeb731e
ObjectId(647dc4f7aa22689102728fb6),2023-06-05T11:20:08.456801+00:00,C108AC01,0.8,238,0.14,,24.9,36.19,44.53,0.04,2023-06-05T11:20:23.000Z,2023-06-05T11:20:23.000Z,8ac20f338996f6958352aaf64b4b26d18a5dff94
ObjectId(647dc593aa22689102728fb8),2023-06-05T11:22:49.853139+00:00,C108AC01,0.8,239,0.07,,24.9,35.68,44.43,0.04,2023-06-05T11:22:58.000Z,2023-06-05T11:22:58.000Z,67165732e0fa7f42f7dbcec4eb140751a2ec7662
ObjectId(647dc639aa22689102728fba),2023-06-05T11:25:31.258922+00:00,C108AC01,0.8,239,0.03,,24.8,35.84,44.43,0.04,2023-06-05T11:25:44.000Z,2023-06-05T11:25:44.000Z,b94cbd9883d0c5a7b4a32c2684c98bdaa22a6802
ObjectId(647dc6d8aa22689102728fbc),2023-06-05T11:28:12.910686+00:00,C108AC01,0.8,238,0.13,,24.9,35.98,44.53,0.04,2023-06-05T11:28:23.000Z,2023-06-05T11:28:23.000Z,f86f297a9a4c3b7fee0a6515d873030ef792527e
ObjectId(647dd557aa22689102728fdf),2023-06-05T11:30:54.066535+00:00,C108AC01,0.8,239,0.1,,24.9,30.44,44.43,0.04,2023-06-05T12:30:14.000Z,2023-06-05T12:30:14.000Z,a692afa765959195f7d192b0e38fc66088685c7d
ObjectId(647dd69baa22689102728fe1),2023-06-05T12:35:27.771718+00:00,C108AC01,0.7,239,0.11,,24.9,30.49,44.03,0.04,2023-06-05T12:35:39.000Z,2023-06-05T12:35:39.000Z,ce7d6a43ffa4f1a3654e73e2e2b5f2a2db84a889
ObjectId(647de3dbaa22689102728fe2),2023-06-05T12:30:05.033159+00:00,C108AC01,0.8,236,0.11,,24.9,30.44,44.43,0.04,2023-06-05T13:32:11.000Z,2023-06-05T13:32:11.000Z,6b66d849c9a41594404554ad129d2f4b77ae3507
ObjectId(647df1c1aa22689102728ff8),2023-06-05T13:31:57.215102+00:00,C108AC01,0.8,238,0.29,,24.9,30.44,44.43,0.04,2023-06-05T14:31:28.000Z,2023-06-05T14:31:28.000Z,a2dd57e420a7d831db0ba866f30e30d3faef32fa
ObjectId(647dff9aaa2268910272900e),2023-06-05T14:31:08.066248+00:00,C108AC01,0.8,238,0.51,,24.9,30.44,44.43,0.05,2023-06-05T15:30:33.000Z,2023-06-05T15:30:33.000Z,78a66e06f0596ee5aca62d10a0713a72c8b0813c
ObjectId(647e00dbaa2268910272900f),2023-06-05T15:35:41.777473+00:00,C108AC01,0.8,238,0.02,,24.9,30.49,44.03,0.04,2023-06-05T15:35:55.000Z,2023-06-05T15:35:55.000Z,2e79fc1117a0ac9df67f78e2d1b1d632c653962b
ObjectId(647e00eaaa22689102729010),2023-06-05T15:33:00.365110+00:00,C108AC01,0.8,240,0.06,,24.9,30.44,44.43,0.04,2023-06-05T15:36:09.000Z,2023-06-05T15:36:09.000Z,a8e8a38bf9667a3796cd167620e3ab868bad2d22
ObjectId(647e1bf6aa22689102729045),2023-06-05T16:32:11.267416+00:00,C108AC01,0.7,236,0.06,,24.9,30.44,44.43,0.03,2023-06-05T17:31:34.000Z,2023-06-05T17:31:34.000Z,d4843536abac425b46b2490b67fc0dc08866e2b0
ObjectId(647e29d5aa22689102729071),2023-06-05T17:31:21.984341+00:00,C108AC01,0.7,237,0.05,,24.9,30.44,44.43,0.03,2023-06-05T18:30:45.000Z,2023-06-05T18:30:45.000Z,eb84737f6048115b79b608a3f70021eb3c45422d
ObjectId(647e385eaa2268910272909d),2023-06-05T18:30:32.907631+00:00,C108AC01,0.7,239,0.03,,24.9,30.44,44.43,0.03,2023-06-05T19:32:45.000Z,2023-06-05T19:32:45.000Z,a9659e929d85edc5320f8fc9a65c9d857ad7f132
ObjectId(647e463caa226891027290be),2023-06-05T19:32:25.605433+00:00,C108AC01,0.7,236,0.07,,24.9,30.44,44.43,0.03,2023-06-05T20:31:55.000Z,2023-06-05T20:31:55.000Z,5865855c25dfce4a11a2078b0b56dfb57ec8f075
ObjectId(647e5416aa226891027290d4),2023-06-05T20:31:36.452444+00:00,C108AC01,0.7,239,0.04,,24.9,30.44,44.43,0.03,2023-06-05T21:31:01.000Z,2023-06-05T21:31:01.000Z,9e2d6fbaeb7c9048a0a6794128003063e65f7e11
ObjectId(647e61fcaa226891027290ea),2023-06-05T21:30:47.265608+00:00,C108AC01,0.8,239,0.13,,24.9,30.44,44.43,0.04,2023-06-05T22:30:20.000Z,2023-06-05T22:30:20.000Z,eb8d532844bf46f53b457a172c02564396cabac5
ObjectId(647e6335aa226891027290ec),2023-06-05T22:35:22.940574+00:00,C108AC01,0.7,237,-0,,24.9,30.49,44.03,0.03,2023-06-05T22:35:32.000Z,2023-06-05T22:35:32.000Z,3e01f684d004f0de90e3896dc55ce06d668db399
ObjectId(647e7078aa226891027290ed),2023-06-05T22:30:00.129447+00:00,C108AC01,0.8,238,0.09,,24.9,30.44,44.43,0.04,2023-06-05T23:32:07.000Z,2023-06-05T23:32:07.000Z,c424d39dadd7eb995dba3f15b7f80a68d7cdd80b
ObjectId(647e7e58aa2268910272910c),2023-06-05T23:31:52.362187+00:00,C108AC01,0.7,238,-0,,24.9,30.44,44.43,0.03,2023-06-06T00:31:19.000Z,2023-06-06T00:31:19.000Z,d7cce4a5435ceec189369344cb9d07796827810e
ObjectId(647e8c36aa22689102729137),2023-06-06T00:31:03.152221+00:00,C108AC01,0.7,239,0.02,,24.9,30.44,44.43,0.03,2023-06-06T01:30:29.000Z,2023-06-06T01:30:29.000Z,2a0676bd7e120f6f9ec64a3baa84aec46b143987
ObjectId(647e8d7baa22689102729139),2023-06-06T01:35:36.828870+00:00,C108AC01,0.7,238,0.06,,24.9,30.49,44.03,0.03,2023-06-06T01:35:54.000Z,2023-06-06T01:35:54.000Z,ed23fc1a452592450bdd35fadfb5b25e027bd770
ObjectId(647e9abbaa22689102729150),2023-06-06T01:30:14.029304+00:00,C108AC01,0.7,237,0.11,,24.9,30.44,44.43,0.04,2023-06-06T02:32:26.000Z,2023-06-06T02:32:26.000Z,4a74008fe26bb1c1f3c792055c8110cf3009622d
ObjectId(647ea88caa2268910272917b),2023-06-06T02:32:06.263436+00:00,C108AC01,0.7,239,0.12,,24.9,30.44,44.43,0.03,2023-06-06T03:31:23.000Z,2023-06-06T03:31:23.000Z,97e8442097a04703c5e1ed131fe5b81936770327
ObjectId(647eb66caa2268910272919c),2023-06-06T03:31:17.109052+00:00,C108AC01,0.8,238,0.14,,24.9,30.44,44.43,0.04,2023-06-06T04:30:36.000Z,2023-06-06T04:30:36.000Z,913edf3f4a402f4caf3b5623c06fe9bc1c3bdb66
ObjectId(647ec4ebaa226891027291bf),2023-06-06T04:30:27.984686+00:00,C108AC01,0.8,238,0.11,,24.9,30.44,44.43,0.04,2023-06-06T05:32:27.000Z,2023-06-06T05:32:27.000Z,11360300b72b38a071a03c105518a27a0d7e9f7d
ObjectId(647ed2cbaa22689102729200),2023-06-06T05:32:20.225625+00:00,C108AC01,0.7,236,0.07,,24.9,30.44,44.43,0.04,2023-06-06T06:31:39.000Z,2023-06-06T06:31:39.000Z,23d102a3e0ce45ffb49805e26fbb826cc74eae18
ObjectId(647ee0aaaa22689102729241),2023-06-06T06:31:31.090076+00:00,C108AC01,0.7,239,0.07,,24.9,30.44,44.43,0.03,2023-06-06T07:30:49.000Z,2023-06-06T07:30:49.000Z,477fab244bfe24110148287bf02d1011019bdb38
ObjectId(647eef2caa2268910272928b),2023-06-06T07:30:41.980135+00:00,C108AC01,0.8,235,0.07,,24.9,30.44,44.43,0.04,2023-06-06T08:32:43.000Z,2023-06-06T08:32:43.000Z,ac6b91efa83e9679b322cc086756f1462e8ed3c4
ObjectId(647efd16aa226891027292e1),2023-06-06T08:32:34.487803+00:00,C108AC01,0.8,238,0.08,,24.9,30.44,44.43,0.04,2023-06-06T09:32:05.000Z,2023-06-06T09:32:05.000Z,8205747e1eb40d3497ef8a901eb9001367b382bc
ObjectId(647f0ae6aa2268910272932c),2023-06-06T09:31:45.297769+00:00,C108AC01,0.8,238,0.1,,24.9,30.44,44.43,0.04,2023-06-06T10:31:01.000Z,2023-06-06T10:31:01.000Z,1be576b002f316010a4b45a14a209c764aa7ab98
ObjectId(647f18d3aa2268910272936c),2023-06-06T10:30:56.125664+00:00,C108AC01,0.8,238,0.03,,24.9,30.44,44.43,0.04,2023-06-06T11:30:26.000Z,2023-06-06T11:30:26.000Z,8e22621d871bbdf8e7a246d1b4ef7a6634190973
ObjectId(647f1a0caa22689102729370),2023-06-06T11:35:29.757730+00:00,C108AC01,0.7,238,0.03,,24.9,30.49,44.03,0.03,2023-06-06T11:35:39.000Z,2023-06-06T11:35:39.000Z,79e7563672b972bd089707a01880fd4ea6414a0c
ObjectId(647f2752aa2268910272939a),2023-06-06T11:30:06.958206+00:00,C108AC01,0.8,238,-0,,24.9,30.44,44.43,0.04,2023-06-06T12:32:17.000Z,2023-06-06T12:32:17.000Z,278e80dc03fd107fc8ced7c3661d7e25642e50dd
ObjectId(647f352daa226891027293da),2023-06-06T12:31:59.249178+00:00,C108AC01,0.7,238,0.04,,24.9,30.44,44.43,0.04,2023-06-06T13:31:24.000Z,2023-06-06T13:31:24.000Z,66f9b9bdcc894fa61bd35b3c19fe13ac6639e5a5
ObjectId(647f364aaa226891027293dc),2023-06-06T13:33:51.494138+00:00,C108AC01,0.8,238,0.03,,24.9,30.44,44.43,0.04,2023-06-06T13:36:10.000Z,2023-06-06T13:36:10.000Z,37507020e339c93b6ee64b0b4c08be18372af0ab
ObjectId(647f36c3aa226891027293e0),2023-06-06T13:36:33.029019+00:00,C108AC01,0.8,238,0.03,,24.9,30.49,44.03,0.04,2023-06-06T13:38:11.000Z,2023-06-06T13:38:11.000Z,0df4b72c2e99260c0c9def07dc43f26bdc5cbd50
ObjectId(647f3735aa226891027293e3),2023-06-06T13:39:14.274030+00:00,C108AC01,0.8,238,0.03,,24.9,30.54,44.13,0.04,2023-06-06T13:40:04.000Z,2023-06-06T13:40:04.000Z,d4652df6ec629360bfc3a58c90d6f132450c6415
ObjectId(647f37b7aa226891027293e4),2023-06-06T13:41:55.723371+00:00,C108AC01,0.8,238,-0,,24.9,29.91,44.13,0.04,2023-06-06T13:42:15.000Z,2023-06-06T13:42:15.000Z,46ab61b06fc21e3959a8a26157963e3cc968a1b3
ObjectId(647f3857aa226891027293e7),2023-06-06T13:44:37.084187+00:00,C108AC01,0.8,238,0.01,,24.9,29.87,44.23,0.04,2023-06-06T13:44:55.000Z,2023-06-06T13:44:55.000Z,451baa0e2ccc06696734e885f7f143054b329cc7
ObjectId(647f38fcaa226891027293ea),2023-06-06T13:47:18.502110+00:00,C108AC01,0.8,237,0.01,,24.9,29.73,44.33,0.04,2023-06-06T13:47:39.000Z,2023-06-06T13:47:39.000Z,88b07e1985cfe649759535f553da1a8611ca036e
ObjectId(647f398faa226891027293ed),2023-06-06T13:49:59.901127+00:00,C108AC01,0.8,238,0.01,,24.9,29.77,44.03,0.04,2023-06-06T13:50:06.000Z,2023-06-06T13:50:06.000Z,704c52a883d9aadf39c7713fa270b3f2c9a93030
ObjectId(647f3a32aa226891027293f0),2023-06-06T13:52:41.299232+00:00,C108AC01,0.8,236,0,,24.9,29.75,43.83,0.04,2023-06-06T13:52:50.000Z,2023-06-06T13:52:50.000Z,a8eb49f44ad579fce1afa61a972b4f523d87afc0
ObjectId(647f3ad4aa226891027293f3),2023-06-06T13:55:22.705210+00:00,C108AC01,0.8,238,0,,24.9,29.72,43.73,0.04,2023-06-06T13:55:32.000Z,2023-06-06T13:55:32.000Z,501711b2f0abe9f6d281a921e43260f9ab935fc4
ObjectId(647f3b76aa226891027293f6),2023-06-06T13:58:04.106853+00:00,C108AC01,0.8,238,-0,,24.9,29.78,43.73,0.04,2023-06-06T13:58:13.000Z,2023-06-06T13:58:13.000Z,8f8299f49577c9671e1b8270445a2ec43bcbc351
ObjectId(647f3c18aa226891027293f9),2023-06-06T14:00:45.512001+00:00,C108AC01,0.8,238,0.08,,25,33.76,43.73,0.04,2023-06-06T14:00:56.000Z,2023-06-06T14:00:56.000Z,e1995fe22b44050ec2a1ee5eb402d6a9f6bf83be
ObjectId(647f3cbaaa226891027293fc),2023-06-06T14:03:26.885332+00:00,C108AC01,0.8,239,0.02,,24.9,33.07,44.53,0.04,2023-06-06T14:03:37.000Z,2023-06-06T14:03:37.000Z,b26835b3dfa06d8e20bca65bfc157e6529cf3737
ObjectId(647f3d59aa226891027293ff),2023-06-06T14:06:08.312568+00:00,C108AC01,0.7,237,0.03,,24.9,32.5,44.43,0.04,2023-06-06T14:06:17.000Z,2023-06-06T14:06:17.000Z,a3d70662547605ebbc7c0b26ed4a9334333dcf59
ObjectId(647f3df7aa22689102729402),2023-06-06T14:08:49.707158+00:00,C108AC01,0.7,238,0.04,,24.8,31.72,44.53,0.04,2023-06-06T14:08:54.000Z,2023-06-06T14:08:54.000Z,ddd5730634c8a92d585e751d8483c62f86d1db77
ObjectId(647f3e9eaa22689102729405),2023-06-06T14:11:31.133000+00:00,C108AC01,0.8,237,0.01,,24.8,30.96,44.53,0.04,2023-06-06T14:11:42.000Z,2023-06-06T14:11:42.000Z,9acdf37793915daf147ad93cf5b1fa04818ea2ce
ObjectId(647f3f44aa22689102729408),2023-06-06T14:14:12.497144+00:00,C108AC01,0.7,238,0.05,,24.9,36.09,44.53,0.04,2023-06-06T14:14:27.000Z,2023-06-06T14:14:27.000Z,363e1d5552fd65406ebf60a714d09d783330026e
ObjectId(647f3fdfaa2268910272940b),2023-06-06T14:16:53.952678+00:00,C108AC01,0.8,238,-0,,24.9,36.24,44.63,0.04,2023-06-06T14:17:03.000Z,2023-06-06T14:17:03.000Z,bc691b8df8a8ed44923e11d0111f7366f58d3c98
ObjectId(647f4088aa2268910272940e),2023-06-06T14:19:35.358878+00:00,C108AC01,0.8,238,0.05,,24.9,36.19,44.53,0.04,2023-06-06T14:19:51.000Z,2023-06-06T14:19:51.000Z,8e79858576381acfd19fe4132aa5fdcbad48d3cf
ObjectId(647f412daa22689102729411),2023-06-06T14:22:16.759469+00:00,C108AC01,0.8,238,0.05,,24.9,35.68,44.43,0.04,2023-06-06T14:22:36.000Z,2023-06-06T14:22:36.000Z,8991fa14d52b2fd1192e27ddb8f695bc06f6f213
ObjectId(647f41cfaa22689102729414),2023-06-06T14:24:58.149462+00:00,C108AC01,0.8,239,0.02,,24.8,35.84,44.43,0.04,2023-06-06T14:25:19.000Z,2023-06-06T14:25:19.000Z,27ca76871ef65839682ac068d565da758f7a2504
ObjectId(647f4269aa22689102729417),2023-06-06T14:27:39.571474+00:00,C108AC01,0.8,239,0.01,,24.9,35.98,44.53,0.04,2023-06-06T14:27:53.000Z,2023-06-06T14:27:53.000Z,4e524fc0476b2f3f5a53b27dc9040ff2d38b67c3
ObjectId(647f5186aa2268910272946e),2023-06-06T14:30:21.181318+00:00,C108AC01,0.8,239,0.09,,24.9,30.44,44.43,0.04,2023-06-06T15:32:21.000Z,2023-06-06T15:32:21.000Z,a7b603781e3547cc4c7316b1749f945ed7c39aaf
ObjectId(647f526aaa22689102729471),2023-06-06T15:34:54.599803+00:00,C108AC01,0.8,237,0.03,,24.9,30.44,44.43,0.04,2023-06-06T15:36:10.000Z,2023-06-06T15:36:10.000Z,fd7482ec6228f46201b5d0edb76b4b141b3f1ee8
ObjectId(647f52e3aa22689102729476),2023-06-06T15:37:35.987034+00:00,C108AC01,0.7,238,-0,,24.9,30.49,44.03,0.04,2023-06-06T15:38:11.000Z,2023-06-06T15:38:11.000Z,8781aefc99a7bb0d51d6e9033b208979a1bf2325
ObjectId(647f5376aa22689102729479),2023-06-06T15:40:17.382424+00:00,C108AC01,0.8,238,0.09,,24.9,30.54,44.13,0.04,2023-06-06T15:40:38.000Z,2023-06-06T15:40:38.000Z,b535e406ffc6598f0e5c188436acb24d83ea9e6a
ObjectId(647f5409aa2268910272947c),2023-06-06T15:42:58.778124+00:00,C108AC01,0.8,238,0.05,,24.9,29.91,44.13,0.04,2023-06-06T15:43:04.000Z,2023-06-06T15:43:04.000Z,060180be92a3ee6ab63f48e11dafe26c0c909634
